File Name,Page Name,Row Number,Change Type,Changed Value,From Value,To Value,Event Time,Actor Type,Actor Name,Statement Type
sample_medium_doc_1.xlsx,Sheet1,1,Spread Status,Status,Uploading,Processing,2026-05-21T08:00:00Z,System,System,Income Statement
sample_medium_doc_1.xlsx,Sheet1,2,Spread Status,Status,Processing,Pending Review by Moodys,2026-05-21T08:04:00Z,System,System,Income Statement
sample_medium_doc_1.xlsx,Sheet1,3,Spread Status,Status,Pending Review by Moodys,In Review by Moodys,2026-05-21T08:07:00Z,User,Reviewer 1,Income Statement
sample_medium_doc_1.xlsx,Sheet1,4,Spread Status,Status,In Review by Moodys,Pending Re-Review by Moodys,2026-05-21T08:13:00Z,User,Reviewer 1,Income Statement
sample_medium_doc_1.xlsx,Sheet1,5,Spread Status,Status,Pending Re-Review by Moodys,In Review by Moodys,2026-05-21T08:20:00Z,System,System,Income Statement
sample_medium_doc_1.xlsx,Sheet1,6,Spread Status,Status,In Review by Moodys,Completed,2026-05-21T08:28:00Z,User,Reviewer 1,Income Statement
sample_medium_doc_2.xlsx,Sheet1,1,Spread Status,Status,Uploading,Processing,2026-05-21T08:40:00Z,System,System,Income Statement
sample_medium_doc_2.xlsx,Sheet1,2,Spread Status,Status,Processing,Pending Review by Moodys,2026-05-21T08:44:00Z,System,System,Income Statement
sample_medium_doc_2.xlsx,Sheet1,3,Spread Status,Status,Pending Review by Moodys,In Review by Moodys,2026-05-21T08:47:00Z,User,Reviewer 2,Income Statement
sample_medium_doc_2.xlsx,Sheet1,4,Spread Status,Status,In Review by Moodys,Pending Re-Review by Moodys,2026-05-21T08:53:00Z,User,Reviewer 2,Income Statement
sample_medium_doc_2.xlsx,Sheet1,5,Spread Status,Status,Pending Re-Review by Moodys,In Review by Moodys,2026-05-21T09:00:00Z,System,System,Income Statement
sample_medium_doc_2.xlsx,Sheet1,6,Spread Status,Status,In Review by Moodys,Completed,2026-05-21T09:08:00Z,User,Reviewer 2,Income Statement
sample_medium_doc_3.xlsx,Sheet1,1,Spread Status,Status,Uploading,Processing,2026-05-21T09:20:00Z,System,System,Income Statement
sample_medium_doc_3.xlsx,Sheet1,2,Spread Status,Status,Processing,Pending Review by Moodys,2026-05-21T09:24:00Z,System,System,Income Statement
sample_medium_doc_3.xlsx,Sheet1,3,Spread Status,Status,Pending Review by Moodys,In Review by Moodys,2026-05-21T09:27:00Z,User,Reviewer 3,Income Statement
sample_medium_doc_3.xlsx,Sheet1,4,Spread Status,Status,In Review by Moodys,Pending Re-Review by Moodys,2026-05-21T09:33:00Z,User,Reviewer 3,Income Statement
sample_medium_doc_3.xlsx,Sheet1,5,Spread Status,Status,Pending Re-Review by Moodys,In Review by Moodys,2026-05-21T09:40:00Z,System,System,Income Statement
sample_medium_doc_3.xlsx,Sheet1,6,Spread Status,Status,In Review by Moodys,Completed,2026-05-21T09:48:00Z,User,Reviewer 3,Income Statement
sample_medium_doc_4.xlsx,Sheet1,1,Spread Status,Status,Uploading,Processing,2026-05-21T10:00:00Z,System,System,Income Statement
sample_medium_doc_4.xlsx,Sheet1,2,Spread Status,Status,Processing,Pending Review by Moodys,2026-05-21T10:04:00Z,System,System,Income Statement
sample_medium_doc_4.xlsx,Sheet1,3,Spread Status,Status,Pending Review by Moodys,In Review by Moodys,2026-05-21T10:07:00Z,User,Reviewer 4,Income Statement
sample_medium_doc_4.xlsx,Sheet1,4,Spread Status,Status,In Review by Moodys,Pending Re-Review by Moodys,2026-05-21T10:13:00Z,User,Reviewer 4,Income Statement
sample_medium_doc_4.xlsx,Sheet1,5,Spread Status,Status,Pending Re-Review by Moodys,In Review by Moodys,2026-05-21T10:20:00Z,System,System,Income Statement
sample_medium_doc_4.xlsx,Sheet1,6,Spread Status,Status,In Review by Moodys,Completed,2026-05-21T10:28:00Z,User,Reviewer 4,Income Statement
